Date,Open,High,Low,Close,Adj Close,Volume
2021-07-14,229.020004,230.520004,224.300003,224.449997,224.449997,12137000
2021-07-15,222.880005,226.669998,220.800003,222.759995,222.759995,12228600
2021-07-16,223.110001,224.000000,217.029999,217.740005,217.740005,12413400
2021-07-19,211.179993,211.550003,204.800003,206.990005,206.990005,24123600
2021-07-20,208.100006,217.369995,206.619995,217.149994,217.149994,17027300
2021-07-21,219.500000,224.089996,218.899994,222.539993,222.539993,11437600
2021-07-22,221.520004,222.250000,218.309998,220.869995,220.869995,9768900
2021-07-23,222.970001,224.630005,220.940002,221.520004,221.520004,9379500
2021-07-26,220.000000,226.119995,219.889999,225.850006,225.850006,8933200
2021-07-27,223.169998,225.699997,220.419998,222.270004,222.270004,8784200
2021-07-28,234.050003,237.490005,231.330002,231.570007,231.570007,19330500
2021-07-29,233.690002,234.820007,231.119995,231.630005,231.630005,8667900
2021-07-30,229.389999,231.179993,225.399994,226.479996,226.479996,9923300
2021-08-02,227.190002,230.470001,224.869995,225.339996,225.339996,8889100
2021-08-03,225.899994,229.100006,221.300003,229.089996,229.089996,7326400
2021-08-04,226.419998,232.350006,225.330002,226.630005,226.630005,9756300
2021-08-05,226.679993,231.539993,226.490005,229.940002,229.940002,8362600
2021-08-06,231.550003,233.570007,230.419998,231.330002,231.330002,6058300
2021-08-09,229.000000,233.570007,226.889999,232.270004,232.270004,8358600
2021-08-10,231.970001,236.850006,231.619995,235.779999,235.779999,9603500
2021-08-11,236.610001,239.589996,234.580002,239.490005,239.490005,9664000
2021-08-12,240.000000,241.149994,236.509995,238.179993,238.179993,6810000
2021-08-13,238.009995,239.690002,234.279999,234.460007,234.460007,6379600
2021-08-16,231.899994,232.029999,227.139999,229.059998,229.059998,7622000
2021-08-17,226.199997,226.240005,219.800003,222.220001,222.220001,13124000
2021-08-18,221.729996,223.649994,218.899994,219.000000,219.000000,9000900
2021-08-19,216.300003,218.300003,211.729996,212.160004,212.160004,11404400
2021-08-20,212.309998,214.740005,210.940002,212.669998,212.669998,9324800
2021-08-23,215.830002,220.179993,215.380005,219.399994,219.399994,10392100
2021-08-24,220.110001,223.100006,219.800003,221.429993,221.429993,8942600
2021-08-25,221.500000,222.300003,219.100006,221.029999,221.029999,6528900
2021-08-26,221.410004,222.899994,215.910004,216.500000,216.500000,8341400
2021-08-27,217.470001,222.429993,216.860001,221.750000,221.750000,7675300
2021-08-30,222.350006,222.369995,217.529999,217.660004,217.660004,7587800
2021-08-31,217.330002,221.330002,217.089996,219.500000,219.500000,6764500
2021-09-01,220.000000,221.759995,217.619995,218.119995,218.119995,7157400
2021-09-02,218.949997,223.839996,218.080002,220.830002,220.830002,8899500
2021-09-03,219.449997,221.179993,217.460007,218.169998,218.169998,6393500
2021-09-07,215.910004,216.710007,212.169998,214.240005,214.240005,13196100
2021-09-08,213.600006,216.080002,210.509995,211.380005,211.380005,8877600
2021-09-09,211.149994,216.610001,210.720001,213.940002,213.940002,9242800
2021-09-10,215.160004,215.889999,210.119995,210.300003,210.300003,6937100
2021-09-13,211.350006,215.639999,209.880005,214.479996,214.479996,10175900
2021-09-14,215.839996,216.110001,210.710007,211.570007,211.570007,9947000
2021-09-15,211.789993,214.350006,210.320007,214.220001,214.220001,7916300
2021-09-16,213.960007,216.309998,213.309998,213.360001,213.360001,6370900
2021-09-17,213.119995,215.369995,211.910004,213.360001,213.360001,7932700
2021-09-20,210.809998,212.429993,206.529999,209.500000,209.500000,10567400
